(Station time  index)
Node(Amsterdam 639 1)
Node(Amsterdam 648 2)
Node(Amsterdam 738 3)
Node(Amsterdam 755 4)
Node(Amsterdam 838 5)
Node(Amsterdam 856 6)
Node(Amsterdam 940 7)
Node(Amsterdam 956 8)
Node(Amsterdam 1038 9)
Node(Amsterdam 1056 10)
Node(Amsterdam 1138 11)
Node(Amsterdam 1156 12)
Node(Amsterdam 1238 13)
Node(Amsterdam 1256 14)
Node(Amsterdam 1338 15)
Node(Amsterdam 1356 16)
Node(Amsterdam 1438 17)
Node(Amsterdam 1456 18)
Node(Amsterdam 1538 19)
Node(Amsterdam 1556 20)
Node(Amsterdam 1640 21)
Node(Amsterdam 1656 22)
Node(Amsterdam 1738 23)
Node(Amsterdam 1756 24)
Node(Amsterdam 1838 25)
Node(Amsterdam 1856 26)
Node(Amsterdam 1938 27)
Node(Amsterdam 1956 28)
Node(Amsterdam 2038 29)
Node(Amsterdam 2056 30)
Node(Amsterdam 2138 31)
Node(Amsterdam 2156 32)
Node(Amsterdam 2238 33)
Node(Amsterdam 2256 34)
Node(Amsterdam 2338 35)
Node(Roosendaal 529 36)
Node(Roosendaal 635 37)
Node(Roosendaal 643 38)
Node(Roosendaal 740 39)
Node(Roosendaal 743 40)
Node(Roosendaal 748 41)
Node(Roosendaal 752 42)
Node(Roosendaal 841 43)
Node(Roosendaal 843 44)
Node(Roosendaal 850 45)
Node(Roosendaal 853 46)
Node(Roosendaal 941 47)
Node(Roosendaal 943 48)
Node(Roosendaal 950 49)
Node(Roosendaal 953 50)
Node(Roosendaal 1043 51)
Node(Roosendaal 1045 52)
Node(Roosendaal 1050 53)
Node(Roosendaal 1053 54)
Node(Roosendaal 1141 55)
Node(Roosendaal 1143 56)
Node(Roosendaal 1150 57)
Node(Roosendaal 1153 58)
Node(Roosendaal 1241 59)
Node(Roosendaal 1243 60)
Node(Roosendaal 1250 61)
Node(Roosendaal 1253 62)
Node(Roosendaal 1341 63)
Node(Roosendaal 1343 64)
Node(Roosendaal 1350 65)
Node(Roosendaal 1353 66)
Node(Roosendaal 1441 67)
Node(Roosendaal 1443 68)
Node(Roosendaal 1450 69)
Node(Roosendaal 1453 70)
Node(Roosendaal 1541 71)
Node(Roosendaal 1543 72)
Node(Roosendaal 1550 73)
Node(Roosendaal 1553 74)
Node(Roosendaal 1643 75)
Node(Roosendaal 1645 76)
Node(Roosendaal 1650 77)
Node(Roosendaal 1653 78)
Node(Roosendaal 1743 79)
Node(Roosendaal 1745 80)
Node(Roosendaal 1750 81)
Node(Roosendaal 1753 82)
Node(Roosendaal 1842 83)
Node(Roosendaal 1844 84)
Node(Roosendaal 1850 85)
Node(Roosendaal 1853 86)
Node(Roosendaal 1941 87)
Node(Roosendaal 1943 88)
Node(Roosendaal 1950 89)
Node(Roosendaal 1953 90)
Node(Roosendaal 2041 91)
Node(Roosendaal 2043 92)
Node(Roosendaal 2049 93)
Node(Roosendaal 2052 94)
Node(Roosendaal 2141 95)
Node(Roosendaal 2143 96)
Node(Roosendaal 2153 97)
Node(Roosendaal 2241 98)
Node(Roosendaal 2354 99)
Node(Rotterdam 531 100)
Node(Rotterdam 628 101)
Node(Rotterdam 629 102)
Node(Rotterdam 700 103)
Node(Rotterdam 726 104)
Node(Rotterdam 732 105)
Node(Rotterdam 755 106)
Node(Rotterdam 801 107)
Node(Rotterdam 832 108)
Node(Rotterdam 835 109)
Node(Rotterdam 858 110)
Node(Rotterdam 902 111)
Node(Rotterdam 932 112)
Node(Rotterdam 934 113)
Node(Rotterdam 958 114)
Node(Rotterdam 1003 115)
Node(Rotterdam 1032 116)
Node(Rotterdam 1034 117)
Node(Rotterdam 1058 118)
Node(Rotterdam 1102 119)
Node(Rotterdam 1132 120)
Node(Rotterdam 1134 121)
Node(Rotterdam 1158 122)
Node(Rotterdam 1203 123)
Node(Rotterdam 1232 124)
Node(Rotterdam 1234 125)
Node(Rotterdam 1258 126)
Node(Rotterdam 1302 127)
Node(Rotterdam 1332 128)
Node(Rotterdam 1335 129)
Node(Rotterdam 1358 130)
Node(Rotterdam 1402 131)
Node(Rotterdam 1432 132)
Node(Rotterdam 1435 133)
Node(Rotterdam 1458 134)
